uniq_id,image_id,caption,image
290698,224241,Young skateboarders are being shown at the skate park.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000224241.jpg
537514,492684,A sightseeing bus is filled with people touring the city.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000492684.jpg
427555,250352,a brown and white horse and a white and black horse,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000250352.jpg
408459,349193,Two people are jumping in the air to catch a Frisbee.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000349193.jpg
401635,291207,The man is preparing food on the grill.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000291207.jpg
400992,151934,A blue city bus is parked next to a bus stop.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000151934.jpg
704208,18917,Meat and pasta dish with vegetable served in bowl.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000018917.jpg
218683,43016,A large passenger jet flying through a  gray sky.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000043016.jpg
370982,256965,there is a tent up outside of a small trailer,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000256965.jpg
370844,57689,there are two zebras standing close to each other,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000057689.jpg
533512,571562,A book laying on top of a bed next to a pillow.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000571562.jpg
34053,317687,A red car backs up into an overturned refrigerator.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000317687.jpg
125417,557804,A tall man wearing a hat is walking.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000557804.jpg
331947,55651,two people in a kitchen area with sinks and a stove,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000055651.jpg
340722,479803,The roof tops of the buildings in a city area.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000479803.jpg
461286,55317,Two people jump up trying to catch the same Frisbee.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000055317.jpg
357052,327304,A bathroom with toilet seat up in a tower building with a window,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000327304.jpg
369,350514,People wait at the station to board a train.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000350514.jpg
291120,69839,A white plate topped with a pizza on top of a table.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000069839.jpg
701329,2754,A dog hanging it's head out of a truck window.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000002754.jpg
213959,563436,A large brown dog eating a red ball.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000563436.jpg
796753,24305,Man and woman and dress clothes cutting through a white cake. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000024305.jpg
750282,54082,A piece of cake covered in whipped cream sitting on top of a plate.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000054082.jpg
719600,367814,A blue counter top with lots of pairs of scissors on them.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000367814.jpg
628496,3830,City traffic on large boulevard shown at dusk.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000003830.jpg
754030,311818,A doughnut that is on a plate with fruit.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000311818.jpg
150289,400134,A dog stands behind a wire door outside,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000400134.jpg
415858,571168,A small public bathroom with a toilet and sink.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000571168.jpg
798013,57992,two horses running on a hill near bushes ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000057992.jpg
644018,497274,a white truck is driving down the street,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000497274.jpg
575125,164850,Blue umbrella above railing on partly cloudy day.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000164850.jpg
402594,225393,A standing toilet sitting inside of a bathroom.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000225393.jpg
480035,78909,a plate with a sandwich and lettuce on it ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000078909.jpg
391821,54323,A brown bathroom with a walk in shower,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000054323.jpg
744077,32458,A red double decker bus on the street.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000032458.jpg
280033,156943,"Bread, soup, and fruit are pictured together on plates. ",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000156943.jpg
191350,86560,"Three people sit on a couch, the man in the middle holds a frisbee.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000086560.jpg
35751,560748,A large sandwich with coleslaw french-fries and vegetables.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000560748.jpg
159294,550449,A lady is holding a super cheesy meal.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000550449.jpg
109130,426128,A group of friend laying on top of a bed.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000426128.jpg
169020,95774,A couple of people carrying surfboards next to a ocean.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000095774.jpg
675834,137635,A all white dog playing with a Frisbee on the ground. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000137635.jpg
775993,521334,a man and woman look inside of a oven ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000521334.jpg
267811,372020,A man floating on a raft with an umbrella turned upwards.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000372020.jpg
94979,17450,A man riding a skateboard up the side of a ramp.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000017450.jpg
514923,98116,the bikes are all parked with no one on them. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000098116.jpg
50430,548893,An orange and white train traveling past a forest filled with lots of green trees.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000548893.jpg
497447,562162,A plastic container filled with lots of different veggies and Mickey Mouse.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000562162.jpg
550218,515298,A white toilet sitting on top of a tile floor in a bathroom.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000515298.jpg
109688,241491,A man hovering over a chocolate cake on a wooden counter.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000241491.jpg
783927,226639,A man putting his nose on the nose of a horse.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000226639.jpg
611479,133114,"A photograph of an outside with numerous things in the scene.
",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000133114.jpg
355346,511774,A group of men getting off of an airplane.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000511774.jpg
735352,218147,a pepperoni and pepper pizza sitting on top of an stove,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000218147.jpg
220070,67269,A man riding a bike while holding a surfboard.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000067269.jpg
380251,134799,A person holding up their phone to record something,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000134799.jpg
542678,344924,Zebra stands in front of rocks while other zebra eats,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000344924.jpg
428486,547879,A woman bending over preparing food on a brick wall.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000547879.jpg
466250,550237,"a kid with a toothbrush in her hand in the bathroom
",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000550237.jpg
202818,228817,A small white bathroom with several white towels.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000228817.jpg
318594,541690,A young man holds the head of a sheep at a livestock show.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000541690.jpg
277032,310021,"A clean, empty refrigerator with its two doors open.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000310021.jpg
63678,341714,A pile of books sitting on a table underneath a clock.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000341714.jpg
551647,332833,"A person is standing over a teddy bear, wearing red socks. ",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000332833.jpg
521494,472224,birds swimming on waters near a bush with grass,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000472224.jpg
305389,398523,A stop sign on a wooden pole in the water.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000398523.jpg
85561,56963,an airplane sitting on a tarmac next to a runway.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000056963.jpg
496796,303232,A group of giraffe standing next to a forest with green trees.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000303232.jpg
754008,518180,A vase that has flowers inside of it.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000518180.jpg
149461,409825,Many people are attending an upscale dinner event.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000409825.jpg
403043,532521,A blue and white. passenger jet taxiing on the runway.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000532521.jpg
598041,470632,A girls feet and shoes are touching each other.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000470632.jpg
131896,546474,Two zebra in an enclosure touching each other.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000546474.jpg
307843,534183,A small bathroom with a white vanity and toilet and tan tile floor.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000534183.jpg
359269,520352,The vase is holding such beautiful flowers by the window.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000520352.jpg
44996,50106,Several people waiting on the sidewalk playing with their phones.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000050106.jpg
353157,38474,A cat laying on top of an open laptop computer.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000038474.jpg
301703,38686,Computer work on the back deck with the dog nearby,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000038686.jpg
318038,430925,A cake decorated with ponies and a pile of macaron cookies on the side.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000430925.jpg
233719,459355,A man in black shirt catching a frisbee between his legs.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000459355.jpg
140267,47935,A woman shows off her pizza on a cutting board in a kitchen.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000047935.jpg
42831,509587,A grizzly bear perched on a dead tree.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000509587.jpg
43428,453037,a batter swinging the bat after hitting the ball,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000453037.jpg
179023,131434,A small brown and white cat under a car.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000131434.jpg
153613,452412,A herd of zebra standing on a dry grass field.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000452412.jpg
106248,558405,"The woman is walking in the city in a bricked alley, holding an umbrella.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000558405.jpg
209429,498000,"A herd of cattle walking around a hilly, grassy area.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000498000.jpg
798307,475275,A zebra is standing outside and eating grass.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000475275.jpg
198535,1085,An orange cat laying on a bed with a black comforter.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000001085.jpg
354612,441172,A person sitting against a wall as another walks by with an umbrella.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000441172.jpg
530845,347653,The jar that is left out on the table is dirty. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000347653.jpg
329279,153666,"A street with a barrier, traffic lights and buildings.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000153666.jpg
760491,247744,A toilet is surrounded by colorfully painted walls.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000247744.jpg
180801,482789,An adorable white dog sitting in a window sill ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000482789.jpg
59600,4888,A boat traveling through the water towards a rocky shore.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000004888.jpg
453528,231845,Two gentleman are playing on the Wii. ,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000231845.jpg
450621,362145,A person standing in a court with a tennis racket.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000362145.jpg
9712,567018,A pair of donuts in a tissue paper wrapping sit atop a counter.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000567018.jpg
268727,201386,A train traveling down the side of a lush green hillside.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000201386.jpg
681627,154794,A couple sitting on a red bench overlooking the ocean.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000154794.jpg
67202,10728,"A pizza topped with meat, olives, and peppers.",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000010728.jpg
297633,476881,A greasey burger and a drink on a table,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000476881.jpg
482753,72902,A man standing by a dog catching a frisbee on a field.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000072902.jpg
777852,40325,A large boat kicking up spray in the water.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000040325.jpg
519087,318365,"someone holding a teddy bear above a toilet
",https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000318365.jpg
105751,98278,A man talking on a cell phone while holding a pen.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000098278.jpg
288331,304548,A man riding a snowboard down the side of a snow covered slope.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000304548.jpg
40389,532227,A snowboarder on a snowy mountain slope on a clear day.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000532227.jpg
622534,540785,A red plane flying across a bright blue sky.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000540785.jpg
541084,480893,A large gray elephant standing on top of a dirt field.,https://modelscope.oss-cn-beijing.aliyuncs.com/open_data/coco_2014_caption/train/COCO_train2014_000000480893.jpg
